Time Step,Distance (m),Received Power (W)
47,2011.5099856397044,1.4085698741928563e-07
48,2009.240392297782,1.4117538499711232e-07
49,2006.9920321045017,1.4149186947139423e-07
50,2004.787942737557,1.4180315641619612e-07
51,2002.653113693689,1.4210564200145347e-07
52,2000.6095440000233,1.4239610457926392e-07
53,1998.678230059526,1.4267143099143618e-07
54,1996.8799182574116,1.4292851529905621e-07
55,1995.2347306203849,1.4316431830289997e-07
56,1993.7598618678885,1.4337620608473194e-07
57,1992.4697684051198,1.4356193396006896e-07
58,1991.380080892643,1.4371909175200938e-07
59,1990.5007101160504,1.4384610530746138e-07
60,1989.8416569026613,1.4394140730023922e-07
61,1989.4105452533715,1.4400379918952464e-07
62,1989.2114730650187,1.4403262326003688e-07
63,1989.2450868209828,1.44027755648121e-07
64,1989.5122932838876,1.4398907022470902e-07
65,1990.0096248363684,1.4391710940730683e-07
66,1990.7323064807322,1.4381263792753207e-07
67,1991.6716037944325,1.4367702222577994e-07
68,1992.8172151927354,1.4351187840644495e-07
69,1994.157691661799,1.4331900535567155e-07
70,1995.678046652721,1.4310072088201686e-07
71,1997.3635732803175,1.428593043394742e-07
72,1999.19554085052,1.4259760537470378e-07
73,2001.155073931211,1.4231847866222648e-07
74,2003.2205239524017,1.4202515083372356e-07
75,2005.370099106183,1.417208378174273e-07
76,2007.5816584889735,1.4140876940143864e-07
77,2009.831350152013,1.410923766022409e-07
78,2012.0954763107534,1.4077502465538827e-07
79,2014.3492508447355,1.4046018583363848e-07
80,2016.5687689255737,1.4015116353562703e-07
81,2018.7291249425912,1.3985135669514336e-07
82,2020.8069510513665,1.3956390973527016e-07
83,2022.781602207978,1.3929155653690023e-07
84,2024.630810724605,1.3903722720380214e-07
85,2026.3341961822282,1.3880356935294288e-07
86,2027.8729650365128,1.3859299839774716e-07
87,2088.671626632513,1.3064188770738916e-07
88,2088.671626632513,1.3064188770738916e-07
89,2271.8483294108005,1.1042416226089447e-07
90,2715.632242462567,7.728244769836715e-08
91,3311.215063815819,5.1981403716580384e-08
92,3980.542742350222,3.596981449666416e-08
93,4685.426287047079,2.5961187980317334e-08
94,5405.776482565288,1.9503233137117512e-08
95,6129.781246830854,1.516815748382651e-08
96,6849.737082142293,1.2147166304727444e-08
97,7560.14921397898,9.971535665843192e-09
98,8256.805055179935,8.35985451427193e-09
99,8936.276043783333,7.136900299667124e-09
