MWPT.A1ModJulian,MWPT.EarthMJ2000Eq.X,MWPT.EarthMJ2000Eq.Y,MWPT.EarthMJ2000Eq.Z,MWPT.EarthMJ2000Eq.VX,MWPT.EarthMJ2000Eq.VY,MWPT.EarthMJ2000Eq.VZ
21545.13202,6723.049098,-1548.739154,-673.648098,1.839715722,6.696672774,3.13539852
21545.1331,6860.279878,-911.0885445,-375.3632554,1.072528197,6.835595541,3.194808583
21545.13419,6924.645069,-264.0049112,-73.1940607,0.293904309,6.901959983,3.220213606
21545.13472,6929.407269,51.06473756,73.74419944,-0.085175397,6.907781996,3.220198247
21545.13542,6909.051507,489.2381371,277.8988169,-0.588075826,7.290541514,3.395006948
21545.13645,6824.076532,1134.714885,578.2378926,-1.319552514,7.204057845,3.349291408
21545.13752,6666.169978,1798.755015,886.6907599,-2.066908152,7.041586002,3.267936688
21545.13861,6437.653794,2449.875823,1188.586528,-2.791592443,6.80669248,3.152892263
21545.13971,6140.697303,3079.696815,1480.025432,-3.481776388,6.503380701,3.006120318
21545.14081,5777.550163,3682.544105,1758.370951,-4.129248403,6.136149021,2.829789439
21545.14192,5350.847224,4253.095681,2021.154245,-4.726834401,5.710185691,2.626384062
21545.14305,4863.67751,4786.167527,2265.975072,-5.268221705,5.231310136,2.398677943
21545.14419,4319.621186,5276.704744,2490.498049,-5.747986026,4.705871886,2.149686338
21545.14535,3722.77686,5719.81237,2692.467331,-6.161632402,4.140635659,1.88261163
21545.14653,3077.772353,6110.806225,2869.730493,-6.505625945,3.542652512,1.600782547
21545.14773,2389.768432,6445.266097,3020.263428,-6.777394858,2.919132722,1.307594435
21545.14895,1664.473,6719.085245,3142.193592,-6.975304626,2.277341049,1.006460258
21545.15019,908.1114576,6928.54022,3233.832368,-7.098625987,1.624469805,0.700751348
21545.15146,127.455766,7070.341177,3293.698768,-7.147471758,0.967583813,0.393772013
21545.15275,-670.2526951,7141.713865,3320.55706,-7.122740517,0.313496095,0.088701825
21545.15407,-1477.283368,7140.459113,3313.444653,-7.026040947,-0.331249563,-0.211411997
21545.15542,-2285.508266,7065.029562,3271.707113,-6.859617494,-0.960464404,-0.503694074
21545.15679,-3086.425591,6914.600116,3195.030795,-6.626279876,-1.568320085,-0.785442808
21545.15819,-3871.233067,6689.145559,3083.478396,-6.329339972,-2.149371714,-1.054140598
21545.15962,-4630.955388,6389.49919,2937.515204,-5.972535866,-2.698597942,-1.307471877
21545.16107,-5356.532125,6017.412857,2758.036309,-5.559977415,-3.211390102,-1.543317538
21545.16256,-6038.93271,5575.612841,2546.391646,-5.096103496,-3.683544765,-1.759751035
21545.16406,-6669.314753,5067.827789,2304.397636,-4.585631636,-4.111271802,-1.955041657
21545.16559,-7239.194245,4498.785889,2034.334371,-4.033505078,-4.491197888,-2.127655648
21545.16714,-7740.594873,3874.208934,1738.941509,-3.444866769,-4.820348449,-2.276247495
21545.16871,-8166.20509,3200.793223,1421.407957,-2.825048754,-5.096132964,-2.399652924
21545.1703,-8509.566359,2486.122103,1085.329409,-2.179528019,-5.316352598,-2.496892035
21545.1719,-8765.224994,1738.576304,734.6651483,-1.513911732,-5.479190837,-2.567164757
21545.17351,-8928.871752,967.2261468,373.6864928,-0.833932988,-5.583208587,-2.609848498
21545.17514,-8997.469622,181.6830295,6.90634426,-0.145434385,-5.627348461,-2.624499975
21545.17567,-8998.901609,-80.46216311,-115.3075345,0.083938852,-5.62863743,-2.623116726
21545.17637,-8984.617165,-443.9621337,-284.632746,0.385672255,-6.05303215,-2.818334448
21545.17784,-8896.164337,-1209.177029,-640.5762812,1.007026504,-5.995583702,-2.786132925
21545.17943,-8711.321266,-2028.208658,-1020.763161,1.67155908,-5.87339968,-2.723331703
21545.18105,-8432.928835,-2833.682921,-1393.804233,2.324348647,-5.688278653,-2.631247023
21545.18266,-8064.748776,-3610.266623,-1752.578159,2.952785798,-5.44281679,-2.511201868
21545.18427,-7610.782174,-4349.08278,-2092.975783,3.549542168,-5.139816484,-2.364570283
21545.18589,-7075.778324,-5042.288503,-2411.3771,4.108174156,-4.782606606,-2.192964911
21545.18751,-6465.285558,-5682.600264,-2704.430505,4.622742796,-4.375066774,-1.998251542
21545.18912,-5785.647605,-6263.261936,-2969.037981,5.087791088,-3.921615272,-1.782543605
21545.19075,-5043.928521,-6778.129683,-3202.394108,5.498413402,-3.427148974,-1.548173434
21545.19237,-4247.849964,-7221.728321,-3402.011872,5.850299416,-2.896991607,-1.297667639
21545.19399,-3405.729218,-7589.304777,-3565.747114,6.139773489,-2.336843011,-1.033722986
21545.19562,-2526.350671,-7876.899961,-3691.830942,6.363846172,-1.752685093,-0.759161952
21545.19725,-1618.95921,-8081.361897,-3778.875858,6.520217555,-1.150770153,-0.476927135
21545.19888,-693.0955083,-8200.412316,-3825.905343,6.607320859,-0.537505698,-0.190027016
21545.20051,241.4650287,-8232.663739,-3832.361294,6.624325905,0.080590005,0.098484918
21545.20215,1174.851141,-8177.64111,-3798.112852,6.571144881,0.696981956,0.385554207
21545.20379,2097.154503,-8035.789265,-3723.45934,6.448427276,1.305157426,0.668143667
21545.20543,2998.554536,-7808.476856,-3609.130927,6.257551576,1.898706636,0.943271056
21545.20707,3869.416423,-7497.989907,-3456.28469,6.000609536,2.471383795,1.208037498
21545.20872,4700.418146,-7107.504646,-3266.490722,5.680374637,3.017185453,1.459663837
21545.21036,5482.627873,-6641.06528,-3041.720993,5.300276382,3.530394695,1.695511094
21545.21201,6207.59933,-6103.553458,-2784.334159,4.86436943,4.005635981,1.91310584
21545.21366,6867.498754,-5500.61858,-2497.041796,4.377273064,4.437949779,2.110174517
21545.21532,7455.170801,-4838.630733,-2182.885752,3.844131369,4.822826647,2.284659019
21545.21697,7964.219068,-4124.61835,-1845.20822,3.270563147,5.156250797,2.434736602
21545.21863,8389.085847,-3366.188968,-1487.613937,2.662600412,5.434743418,2.55883955
21545.22029,8725.113523,-2571.455221,-1113.93498,2.026633172,5.6553946,2.655669589
21545.22194,8968.607398,-1748.931618,-728.1819269,1.36933267,5.815897195,2.724212978
21545.2236,9116.874529,-907.4430509,-334.5007048,0.697585674,5.91456627,2.763748978
21545.22526,9168.253182,-56.04218379,62.86633511,0.018437053,5.95035392,2.773856227
21545.22692,9122.136791,796.1103436,459.6366266,-0.660996418,5.922862256,2.754417978
21545.22858,8978.986357,1639.80518,851.515272,-1.333563486,5.832350491,2.705625048
21545.23024,8740.320005,2465.961658,1234.277769,-1.992209929,5.679729328,2.62797191
21545.2319,8408.704779,3265.659804,1603.784992,-2.629994491,5.466558166,2.522255229
21545.23356,7987.726662,4030.271986,1956.044391,-3.240184966,5.195030144,2.389565922
21545.23522,7481.941944,4751.568078,2287.258676,-3.816334293,4.867946495,2.231276419
21545.23687,6896.837324,5421.785259,2593.858078,-4.352329834,4.488697774,2.049031388
21545.23853,6238.756182,6033.731859,2872.548146,-4.842471547,4.061224197,1.844728414
21545.24018,5514.837859,6580.853468,3120.340074,-5.281521915,3.589985061,1.62050319
21545.24184,4732.925102,7057.315881,3334.588543,-5.664771421,3.079907803,1.378705037
21545.24349,3901.477639,7458.063462,3513.018154,-5.988086506,2.53634096,1.121874422
21545.24513,3029.489542,7778.86795,3653.745431,-6.247951935,1.965009222,0.852721481
21545.24678,2126.372394,8016.381718,3755.302542,-6.441518862,1.371945335,0.574093694
21545.24842,1201.851185,8168.168818,3816.650769,-6.566636916,0.763429082,0.288947002
21545.25007,265.843121,8232.727145,3837.189656,-6.621880805,0.145913497,0.000311024
21545.2517,-671.6190417,8209.496177,3816.759859,-6.606566412,-0.474021362,-0.288732775
21545.25334,-1600.533224,8098.86116,3755.64362,-6.520765136,-1.089762516,-0.575095231
21545.25497,-2510.995591,7902.146399,3654.560939,-6.365309582,-1.694708367,-0.855700315
21545.25661,-3393.366377,7621.585649,3514.654054,-6.141781072,-2.282380372,-1.127537208
21545.25824,-4238.319552,7260.29924,3337.476224,-5.852501553,-2.846459854,-1.387677502
21545.25986,-5036.959886,6822.252269,3124.970985,-5.500509418,-3.380871555,-1.633314033
21545.26149,-5780.905404,6312.212043,2879.451393,-5.089533086,-3.879845983,-1.861789797
21545.26311,-6462.390019,5735.680959,2603.567587,-4.623942857,-4.337996795,-2.070633648
21545.26473,-7074.326506,5098.839713,2300.279574,-4.108708799,-4.750372734,-2.257584184
21545.26635,-7610.36966,4408.487372,1972.828527,-3.54935375,-5.112510269,-2.420613895
21545.26797,-8064.996601,3671.942539,1624.689762,-2.951872295,-5.420498032,-2.557958451
21545.26958,-8433.529973,2897.003231,1259.553669,-2.322694869,-5.671002384,-2.668128322
21545.2712,-8712.203871,2091.832105,881.2713865,-1.668589052,-5.861321124,-2.749932846
21545.27281,-8898.183287,1264.90339,493.8297273,-0.996608891,-5.989404517,-2.802489547
21545.27442,-8989.600418,424.8801657,101.2934463,-0.313985988,-6.053886306,-2.82523748
21545.27604,-8985.559716,-419.4518758,-292.2258296,0.371934749,-6.054091607,-2.817940246
21545.27765,-8886.145253,-1259.268743,-682.6091242,1.053774755,-5.99004435,-2.780688621
21545.27926,-8692.42585,-2085.775941,-1065.761914,1.724188297,-5.862470979,-2.713901568
21545.28088,-8406.431566,-2890.357679,-1437.683562,2.375994684,-5.672783002,-2.618316648
21545.28249,-8031.141656,-3664.602695,-1794.479372,3.002209486,-5.423064781,-2.494983956
21545.2841,-7570.454288,-4400.40784,-2132.408669,3.596137571,-5.116047464,-2.345252911
21545.28572,-7029.153582,-5090.053608,-2447.919783,4.151441665,-4.755079475,-2.17075769
21545.28734,-6412.856304,-5726.293497,-2737.691242,4.66221999,-4.344082174,-1.973395623
21545.28896,-5727.959339,-6302.422204,-2998.663092,5.123064451,-3.887505219,-1.755305663
21545.29058,-4981.586114,-6812.338691,-3228.065817,5.529112341,-3.390280867,-1.518846408
